Country	Top_30_Indicator
Albania	0
Algeria	0
Argentina	0
Australia	1
Austria	1
Azerbaijan	0
Bangladesh	0
Belarus	0
Belgium	1
Bolivia	0
Botswana	0
Brazil	0
Bulgaria	0
Burkina_Faso	0
Cameroon	0
Canada	1
Chile	1
China	0
Colombia	0
Costa_Rica	0
Croatia	1
Cuba	0
Czech_Republic	1
Denmark	1
Dominican_Republic	0
Ecuador	0
Egypt	0
El_Salvador	0
Estonia	0
Ethiopia	0
Finland	1
France	1
Germany	1
Ghana	0
Greece	1
Guatemala	0
Honduras	0
Hungary	0
India	0
Indonesia	0
Iran	0
Ireland	1
Israel	1
Italy	1
Jamaica	0
Japan	1
Jordan	0
Kazakhstan	0
Kenya	0
Korea_South	1
Kuwait	0
Latvia	0
Lithuania	0
Luxembourg	1
Madagascar	0
Malaysia	0
Mexico	0
Morocco	0
Mozambique	0
Netherlands	1
New_Zealand	1
Nicaragua	0
Nigeria	0
Norway	1
Oman	0
Pakistan	0
Panama	0
Paraguay	0
Peru	0
Philippines	0
Poland	1
Portugal	1
Qatar	0
Romania	0
Russia	0
Saudi_Arabia	0
Senegal	0
Singapore	1
Slovakia	0
Slovenia	1
South_Africa	0
Spain	1
Sri_Lanka	0
Sweden	1
Switzerland	1
Syria	0
Tanzania	0
Thailand	0
Tunisia	0
Turkey	0
Uganda	0
Ukraine	0
United_Arab_Emirates	0
United_Kingdom	1
United_States	1
Uruguay	0
Venezuela	0
Vietnam	0
Yemen	0
Zambia	0
